ES,CZ,Order,Sentence,SentenceT,L
el veneno,jed,4536,En el mapa aparece el veneno.,Na mapě je jed.,ne
enemigo,nepřítel,4537,Hoy el día está enemigo.,Dnes je den nepřítel.,ne
enemigo,odpůrce,4538,Su voz suena enemigo.,Jeho/její hlas zní odpůrce.,ne
enemigo,protivník,4539,El paisaje es enemigo.,Krajina je protivník.,ne
distinto,odlišný,4540,Ahora mismo me siento distinto.,Teď se cítím odlišný.,ne
distinto,rozdílný,4541,Este lugar parece distinto.,Tohle místo je rozdílný.,ne
distinto,jiný,4542,Hoy el día está distinto.,Dnes je den jiný.,ne
alterar,změnit,4543,Me gusta alterar cuando tengo tiempo.,"Když mám čas, baví mě změnit.",ne
alterar,pozměnit,4544,Vamos a alterar un momento.,Pojďme pozměnit na chvilku.,ne
alterar,narušit,4545,Intento alterar mejor cada día.,Snažím se narušit každý den lépe.,ne
alterar,zneklidnit,4546,"Quiero alterar hoy, sin prisa.","Dnes chci zneklidnit, bez spěchu.",ne
el musgo,mech,4547,"Aquí está el musgo, justo delante.","Tady je mech, přímo před námi.",ne
el helecho,kapradina,4548,En la caja hay el helecho.,V krabici je kapradina.,ne
la alga,vodní řasy,4549,Necesito la alga para este trabajo.,Na tuhle práci potřebuji vodní řasy.,ne
la cianobacteria,sinice,4550,Hoy vemos la cianobacteria por primera vez.,Dnes poprvé vidíme sinice.,ne
la sustancia,látka,4551,En el mapa aparece la sustancia.,Na mapě je látka.,ne
la sustancia,hmota,4552,"Aquí está la sustancia, justo delante.","Tady je hmota, přímo před námi.",ne
la sustancia,substance,4553,En la caja hay la sustancia.,V krabici je substance.,ne
refugiar,poskytnout / najít si útočiště,4554,Vamos a refugiar un momento.,Pojďme poskytnout na chvilku.,ne
refugiar,schovat se,4555,Intento refugiar mejor cada día.,Snažím se schovat se každý den lépe.,ne
la fosa,hrob,4556,En el mapa aparece la fosa.,Na mapě je hrob.,ne
la fosa,dutina,4557,"Aquí está la fosa, justo delante.","Tady je dutina, přímo před námi.",ne
la fosa,jamka,4558,En la caja hay la fosa.,V krabici je jamka.,ne
el azufre,síra,4559,Necesito el azufre para este trabajo.,Na tuhle práci potřebuji síra.,ne
el oxígeno / el hidrógeno,kyslík,4560,Hoy vemos el oxígeno por primera vez.,Dnes poprvé vidíme kyslík.,ne
el oxígeno / el hidrógeno,čerstvý vzduch / vodík,4561,En el mapa aparece el oxígeno.,Na mapě je čerstvý vzduch.,ne
el hierro / el cinc,železo / zinek,4562,"Aquí está el hierro, justo delante.","Tady je železo, přímo před námi.",ne
salvaje,divoký,4563,Su voz suena salvaje.,Jeho/její hlas zní divoký.,ne
salvaje,planý,4564,El paisaje es salvaje.,Krajina je planý.,ne
(el) complejo,(komplex),4565,Ahora mismo me siento complejo.,Teď se cítím .,ne
(el) complejo,komplexní,4566,Este lugar parece complejo.,Tohle místo je komplexní.,ne
(el) complejo,složitý,4567,Hoy el día está complejo.,Dnes je den složitý.,ne
a pesar de / pese a,navzdory,4568,"Sin a pesar de, todo cambia.",Bez tohohle se všechno mění: navzdory.,ne
a pesar de / pese a,přestože,4569,A veces a pesar de sorprende.,Někdy překvapí tohle: přestože.,ne
la ola / la onda / ondear,vlna / vlnit se,4570,Hoy vemos la ola por primera vez.,Dnes poprvé vidíme vlna.,ne
el objeto,objekt,4571,En el mapa aparece el objeto.,Na mapě je objekt.,ne
el objeto,předmět,4572,"Aquí está el objeto, justo delante.","Tady je předmět, přímo před námi.",ne
el objeto,věc,4573,En la caja hay el objeto.,V krabici je věc.,ne
"la garra, la zarpa / zarpazo",pracka,4574,Necesito la garra para este trabajo.,Na tuhle práci potřebuji pracka.,ne
"la garra, la zarpa / zarpazo",dráp,4575,Hoy vemos la garra por primera vez.,Dnes poprvé vidíme dráp.,ne
"la garra, la zarpa / zarpazo",pařát,4576,En el mapa aparece la garra.,Na mapě je pařát.,ne
"la garra, la zarpa / zarpazo",spár / rána prackou,4577,,"Aquí está la garra, justo delante., Tady je spár, přímo před námi.",ne
inducir,indukovat,4578,Me gusta inducir cuando tengo tiempo.,"Když mám čas, baví mě indukovat.",ne
inducir,vyvodit,4579,Vamos a inducir un momento.,Pojďme vyvodit na chvilku.,ne
inducir,navést k něčemu,4580,Intento inducir mejor cada día.,Snažím se navést k něčemu každý den lépe.,ne
inducir,přemluvit,4581,"Quiero inducir hoy, sin prisa.","Dnes chci přemluvit, bez spěchu.",ne
la hembra,samice,4582,"Aquí está la hembra, justo delante.","Tady je samice, přímo před námi.",ne
la hembra,samička,4583,En la caja hay la hembra.,V krabici je samička.,ne
la oreja,ucho,4584,Necesito la oreja para este trabajo.,Na tuhle práci potřebuji ucho.,ne
el morro,čumák,4585,Hoy vemos el morro por primera vez.,Dnes poprvé vidíme čumák.,ne
el morro,tlama,4586,En el mapa aparece el morro.,Na mapě je tlama.,ne
el asco / Me da asco.,odpor,4587,"Aquí está el asco, justo delante.","Tady je odpor, přímo před námi.",ne
el asco / Me da asco.,hnus,4588,En la caja hay el asco.,V krabici je hnus.,ne
el asco / Me da asco.,hrůza,4589,Necesito el asco para este trabajo.,Na tuhle práci potřebuji hrůza.,ne
el asco / Me da asco.,opovrhovat / Je mi z toho na nic.,4590,Hoy vemos el asco por primera vez.,Dnes poprvé vidíme opovrhovat.,ne
disparar (la pistola) contra algn,střílet,4591,"Quiero disparar contra algn hoy, sin prisa.","Dnes chci střílet, bez spěchu.",ne
disparar (la pistola) contra algn,vystřelit,4592,Necesito disparar contra algn antes de salir.,Potřebuji vystřelit před odchodem.,ne
disparar (la pistola) contra algn,vypálit (pistole) na někoho,4593,Me gusta disparar contra algn cuando tengo tiempo.,"Když mám čas, baví mě vypálit na někoho.",ne
anunciar,oznámit,4594,Vamos a anunciar un momento.,Pojďme oznámit na chvilku.,ne
anunciar,ohlásit,4595,Intento anunciar mejor cada día.,Snažím se ohlásit každý den lépe.,ne
el autógrafo,autogram,4596,En el mapa aparece el autógrafo.,Na mapě je autogram.,ne
borracho,opilý,4597,Hoy el día está borracho.,Dnes je den opilý.,ne
el búho,výr,4598,En la caja hay el búho.,V krabici je výr.,ne
el búho,sova,4599,Necesito el búho para este trabajo.,Na tuhle práci potřebuji sova.,ne
el capítulo,kapitola,4600,Hoy vemos el capítulo por primera vez.,Dnes poprvé vidíme kapitola.,ne
el capítulo,díl,4601,En el mapa aparece el capítulo.,Na mapě je díl.,ne
la compensación,náhrada,4602,"Aquí está la compensación, justo delante.","Tady je náhrada, přímo před námi.",ne
la compensación,kompenzace,4603,En la caja hay la compensación.,V krabici je kompenzace.,ne
darse cuenta (de),všimnout si (čeho),4604,Vamos a darse cuenta un momento.,Pojďme všimnout si na chvilku.,ne
darse cuenta (de),uvědomit si (co),4605,Intento darse cuenta mejor cada día.,Snažím se uvědomit si každý den lépe.,ne
el culebrón (la telenovela),telenovela,4606,En el mapa aparece el culebrón.,Na mapě je telenovela.,ne
delatar,prozradit,4607,Necesito delatar antes de salir.,Potřebuji prozradit před odchodem.,ne
delatar,udat,4608,Me gusta delatar cuando tengo tiempo.,"Když mám čas, baví mě udat.",ne
el desenlace,rozuzlení,4609,Necesito el desenlace para este trabajo.,Na tuhle práci potřebuji rozuzlení.,ne
despedirse (de),rozloučit se (s),4610,Intento despedirse mejor cada día.,Snažím se rozloučit se každý den lépe.,ne
directo,rovný,4611,Este lugar parece directo.,Tohle místo je rovný.,ne
directo,přímý,4612,Hoy el día está directo.,Dnes je den přímý.,ne
"divertir (se), 1.divierto",bavit (se),4613,Me gusta divertir cuando tengo tiempo.,"Když mám čas, baví mě bavit.",ne
el documental,dokumentární film,4614,Necesito el documental para este trabajo.,Na tuhle práci potřebuji dokumentární film.,ne
emocionado,rozrušený,4615,Ahora mismo me siento emocionado.,Teď se cítím rozrušený.,ne
emocionado,vzrušený,4616,Este lugar parece emocionado.,Tohle místo je vzrušený.,ne
"encender, 1.enciendo",rozsvítit,4617,Necesito encender antes de salir.,Potřebuji rozsvítit před odchodem.,ne
"encender, 1.enciendo",zapnout,4618,Me gusta encender cuando tengo tiempo.,"Když mám čas, baví mě zapnout.",ne
"encender, 1.enciendo",zapálit,4619,Vamos a encender un momento.,Pojďme zapálit na chvilku.,ne
"encender, 1.enciendo",zažehnout,4620,,"Intento encender mejor cada día., Snažím se zažehnout každý den lépe.",ne
estimado,vážený,4621,Este lugar parece estimado.,Tohle místo je vážený.,ne
estimado,ctěný,4622,Hoy el día está estimado.,Dnes je den ctěný.,ne
la fama (el rumor),pověst,4623,En la caja hay la fama.,V krabici je pověst.,ne
fatal,hrozný,4624,El paisaje es fatal.,Krajina je hrozný.,ne
fatal,strašný,4625,Ahora mismo me siento fatal.,Teď se cítím strašný.,ne
fatal,fatální,4626,Este lugar parece fatal.,Tohle místo je fatální.,ne
indignarse,rozzlobit se,4627,Necesito indignarse antes de salir.,Potřebuji rozzlobit se před odchodem.,ne
indignarse,rozčílit se,4628,Me gusta indignarse cuando tengo tiempo.,"Když mám čas, baví mě rozčílit se.",ne
"la llave, cerrar con llave",klíč,4629,Necesito la llave para este trabajo.,Na tuhle práci potřebuji klíč.,ne
"la llave, cerrar con llave",zamknout,4630,Hoy vemos la llave por primera vez.,Dnes poprvé vidíme zamknout.,ne
Londres,Londýn,4631,Hoy hablamos de Londres un momento.,Dnes chvíli mluvíme o tomhle: Londýn.,ne
el lunar,měsíční,4632,"Aquí está el lunar, justo delante.","Tady je měsíční, přímo před námi.",ne
el lunar,mateřské znaménko,4633,En la caja hay el lunar.,V krabici je mateřské znaménko.,ne
el lunar,puntík,4634,Necesito el lunar para este trabajo.,Na tuhle práci potřebuji puntík.,ne
la madrastra / el padrastro / hermanastro,macecha / nevlastní otec / nevlastní sourozenec,4635,Hoy vemos la madrastra por primera vez.,Dnes poprvé vidíme macecha.,ne
la mejilla,tvář,4636,En el mapa aparece la mejilla.,Na mapě je tvář.,ne
la mejilla,líce,4637,"Aquí está la mejilla, justo delante.","Tady je líce, přímo před námi.",ne
la mirada,pohled,4638,En la caja hay la mirada.,V krabici je pohled.,ne
elevar mirada / Su mirada destila odio.,vzhlédnout / Z jeho pohledu čiší nenávist.,4639,Vamos a elevar mirada un momento.,Pojďme vzhlédnout na chvilku.,ne
destilar,destilovat,4640,Intento destilar mejor cada día.,Snažím se destilovat každý den lépe.,ne
destilar,vyzařovat,4641,"Quiero destilar hoy, sin prisa.","Dnes chci vyzařovat, bez spěchu.",ne
destilar,čišet,4642,Necesito destilar antes de salir.,Potřebuji čišet před odchodem.,ne
obligado / verse obligado a,nutný,4643,Su voz suena obligado.,Jeho/její hlas zní nutný.,ne
obligado / verse obligado a,nucený,4644,El paisaje es obligado.,Krajina je nucený.,ne
obligado / verse obligado a,povinný / být nucen + infinitiv,4645,Ahora mismo me siento obligado.,Teď se cítím povinný.,ne
pálido,bledý,4646,Este lugar parece pálido.,Tohle místo je bledý.,ne
picar,zobat,4647,Necesito picar antes de salir.,Potřebuji zobat před odchodem.,ne
picar,zakousnout,4648,Me gusta picar cuando tengo tiempo.,"Když mám čas, baví mě zakousnout.",ne
"prometer / prometido, a",slíbit / slíbený,4649,Vamos a prometer un momento.,Pojďme slíbit na chvilku.,ne
"prometer / prometido, a",zaslíbený,4650,,"Intento prometer mejor cada día., Snažím se zaslíbený každý den lépe.",ne
"prometer / prometido, a",snoubenec,4651,"Quiero prometer hoy, sin prisa.","Dnes chci snoubenec, bez spěchu.",ne
"prometer / prometido, a",ka,4652,Necesito prometer antes de salir.,Potřebuji ka před odchodem.,ne
próximamente,v nejbližší době,4653,Habla próximamente y todos entienden.,Mluví v nejbližší době a všichni rozumí.,ne
próximamente,brzy,4654,Trabaja próximamente cuando hay poco tiempo.,"Když je málo času, pracuje brzy.",ne
quedar en + inf. / quedar paralítico,domluvit se na,4655,Intento quedar en + inf. mejor cada día.,Snažím se domluvit se na každý den lépe.,ne
quedar en + inf. / quedar paralítico,dohodnout se / zůstat ochrnutý,4656,"Quiero quedar en + inf. hoy, sin prisa.","Dnes chci dohodnout se, bez spěchu.",ne
quedar en + inf. / quedar paralítico,ochrnout,4657,Necesito quedar en + inf. antes de salir.,Potřebuji ochrnout před odchodem.,ne
"reír(se) de, por / sonreír (se) + 3.pád",smát(se) komu čemu / usmívat se na koho,4658,,"Sin reír de, todo cambia., Bez tohohle se všechno mění: smát komu čemu.",ne
la retransmisión en directo,přímý přenos,4659,Necesito la retransmisión en directo para este trabajo.,Na tuhle práci potřebuji přímý přenos.,ne
saltar,skákat,4660,Intento saltar mejor cada día.,Snažím se skákat každý den lépe.,ne
saltar,vyhrknout,4661,"Quiero saltar hoy, sin prisa.","Dnes chci vyhrknout, bez spěchu.",ne
saltar,porušit,4662,Necesito saltar antes de salir.,Potřebuji porušit před odchodem.,ne
saltar,překročit nařízení,4663,Me gusta saltar cuando tengo tiempo.,"Když mám čas, baví mě překročit nařízení.",ne
revisar,prohlédnout,4664,Vamos a revisar un momento.,Pojďme prohlédnout na chvilku.,ne
revisar,zkontrolovat,4665,Intento revisar mejor cada día.,Snažím se zkontrolovat každý den lépe.,ne
sentar bien,sednout,4666,"Quiero sentar bien hoy, sin prisa.","Dnes chci sednout, bez spěchu.",ne
sentar bien,udělat dobře,4667,Necesito sentar bien antes de salir.,Potřebuji udělat dobře před odchodem.,ne
"sonar, 1.sueno",zvonit,4668,Me gusta sonar cuando tengo tiempo.,"Když mám čas, baví mě zvonit.",ne
"sonar, 1.sueno",znít,4669,Vamos a sonar un momento.,Pojďme znít na chvilku.,ne
"sonar, 1.sueno",vypadta,4670,,"Intento sonar mejor cada día., Snažím se vypadta každý den lépe.",ne
"sonar, 1.sueno",zavánět čím,4671,"Quiero sonar hoy, sin prisa.","Dnes chci zavánět čím, bez spěchu.",ne
sorprendido,překvapený,4672,Hoy el día está sorprendido.,Dnes je den překvapený.,ne
el título / el subtítulo,titul,4673,En la caja hay el título.,V krabici je titul.,ne
el título / el subtítulo,nadpis,4674,Necesito el título para este trabajo.,Na tuhle práci potřebuji nadpis.,ne
el título / el subtítulo,název / titulek,4675,Hoy vemos el título por primera vez.,Dnes poprvé vidíme název.,ne
suspirar,vzdychat,4676,"Quiero suspirar hoy, sin prisa.","Dnes chci vzdychat, bez spěchu.",ne
susurrar,šeptat,4677,Necesito susurrar antes de salir.,Potřebuji šeptat před odchodem.,ne
técnico,technický,4678,Su voz suena técnico.,Jeho/její hlas zní technický.,ne
el telespectador,televizní divák,4679,Necesito el telespectador para este trabajo.,Na tuhle práci potřebuji televizní divák.,ne
vacilar,váhat,4680,Intento vacilar mejor cada día.,Snažím se váhat každý den lépe.,ne
vacilar,vrávorat,4681,"Quiero vacilar hoy, sin prisa.","Dnes chci vrávorat, bez spěchu.",ne
vacilar,viklat se,4682,Necesito vacilar antes de salir.,Potřebuji viklat se před odchodem.,ne
tratar de no usar diccionario,pokusit se nepoužít slovník,4683,Me gusta tratar de no usar diccionario cuando tengo tiempo.,"Když mám čas, baví mě pokusit se nepoužít slovník.",ne
reconocer / reconocido,rozeznat,4684,Vamos a reconocer un momento.,Pojďme rozeznat na chvilku.,ne
reconocer / reconocido,rozpoznat,4685,Intento reconocer mejor cada día.,Snažím se rozpoznat každý den lépe.,ne
reconocer / reconocido,uznat / uznávaný,4686,"Quiero reconocer hoy, sin prisa.","Dnes chci uznat, bez spěchu.",ne
el desarrollo,vývoj,4687,"Aquí está el desarrollo, justo delante.","Tady je vývoj, přímo před námi.",ne
el desarrollo,rozvoj,4688,En la caja hay el desarrollo.,V krabici je rozvoj.,ne
el desarrollo,růst,4689,Necesito el desarrollo para este trabajo.,Na tuhle práci potřebuji růst.,ne
impedir,zabránit,4690,Intento impedir mejor cada día.,Snažím se zabránit každý den lépe.,ne
impedir,zamezit,4691,"Quiero impedir hoy, sin prisa.","Dnes chci zamezit, bez spěchu.",ne
impedir,překazit,4692,Necesito impedir antes de salir.,Potřebuji překazit před odchodem.,ne
dañino / dañado,škodlivý / poškozený,4693,Su voz suena dañino.,Jeho/její hlas zní škodlivý.,ne
dañino / dañado,poničený,4694,El paisaje es dañino.,Krajina je poničený.,ne
el daño,škoda,4695,Hoy vemos el daño por primera vez.,Dnes poprvé vidíme škoda.,ne
el daño,poškození,4696,En el mapa aparece el daño.,Na mapě je poškození.,ne
el daño,újma,4697,"Aquí está el daño, justo delante.","Tady je újma, přímo před námi.",ne
obstante / no obstante,vzdorovitý,4698,Su voz suena obstante.,Jeho/její hlas zní vzdorovitý.,ne
obstante / no obstante,vzpurný / nicméně,4699,El paisaje es obstante.,Krajina je vzpurný.,ne
obstante / no obstante,přesto,4700,Ahora mismo me siento obstante.,Teď se cítím přesto.,ne
obstante / no obstante,navzdory tomu,4701,Este lugar parece obstante.,Tohle místo je navzdory tomu.,ne
debido,náležitý,4702,Hoy el día está debido.,Dnes je den náležitý.,ne
debido,přiměřený,4703,Su voz suena debido.,Jeho/její hlas zní přiměřený.,ne
debido,jak se sluší a patří,4704,El paisaje es debido.,Krajina je jak se sluší a patří.,ne
debido,kvůli,4705,Ahora mismo me siento debido.,Teď se cítím kvůli.,ne
debido a alg,vlivem čeho / kvůli čemu,4706,Hoy hablamos de debido a alg un momento.,Dnes chvíli mluvíme o tomhle: vlivem čeho.,ne
ensayar / el ensayo,testovat,4707,Necesito ensayar antes de salir.,Potřebuji testovat před odchodem.,ne
ensayar / el ensayo,zkoušet,4708,Me gusta ensayar cuando tengo tiempo.,"Když mám čas, baví mě zkoušet.",ne
ensayar / el ensayo,nacvičovat / pokus,4709,Vamos a ensayar un momento.,Pojďme nacvičovat na chvilku.,ne
ensayar / el ensayo,test,4710,Intento ensayar mejor cada día.,Snažím se test každý den lépe.,ne
ensayar / el ensayo,esej,4711,"Quiero ensayar hoy, sin prisa.","Dnes chci esej, bez spěchu.",ne
la eficacia,efektivnost,4712,"Aquí está la eficacia, justo delante.","Tady je efektivnost, přímo před námi.",ne
la eficacia,účinnost,4713,En la caja hay la eficacia.,V krabici je účinnost.,ne
disminuir,zmenšovat,4714,Vamos a disminuir un momento.,Pojďme zmenšovat na chvilku.,ne
disminuir,snižovat,4715,Intento disminuir mejor cada día.,Snažím se snižovat každý den lépe.,ne
colateral,postranní,4716,Este lugar parece colateral.,Tohle místo je postranní.,ne
colateral,boční,4717,Hoy el día está colateral.,Dnes je den boční.,ne
colateral,vedlejší,4718,Su voz suena colateral.,Jeho/její hlas zní vedlejší.,ne
colateral,podružný,4719,El paisaje es colateral.,Krajina je podružný.,ne
rechazar,odmítnout,4720,Intento rechazar mejor cada día.,Snažím se odmítnout každý den lépe.,ne
rechazar,zamítnout,4721,"Quiero rechazar hoy, sin prisa.","Dnes chci zamítnout, bez spěchu.",ne
rechazar,zavrhnout,4722,Necesito rechazar antes de salir.,Potřebuji zavrhnout před odchodem.,ne
fabricar,vyrobit,4723,Me gusta fabricar cuando tengo tiempo.,"Když mám čas, baví mě vyrobit.",ne
fabricar,vyprodukovat,4724,Vamos a fabricar un momento.,Pojďme vyprodukovat na chvilku.,ne
fabricar,vyrábět,4725,Intento fabricar mejor cada día.,Snažím se vyrábět každý den lépe.,ne
el anticuerpo,protilátka,4726,En el mapa aparece el anticuerpo.,Na mapě je protilátka.,ne
divulgar,rozhlásit,4727,Necesito divulgar antes de salir.,Potřebuji rozhlásit před odchodem.,ne
divulgar,roztroubit,4728,Me gusta divulgar cuando tengo tiempo.,"Když mám čas, baví mě roztroubit.",ne
divulgar,roznést,4729,Vamos a divulgar un momento.,Pojďme roznést na chvilku.,ne
divulgar,prozradit,4730,Intento divulgar mejor cada día.,Snažím se prozradit každý den lépe.,ne
la venta,prodej,4731,En el mapa aparece la venta.,Na mapě je prodej.,ne
la venta,zájezdní hostinec,4732,"Aquí está la venta, justo delante.","Tady je zájezdní hostinec, přímo před námi.",ne
"venta a plazos / en venta, se vende",prodej na splátky / na prodej,4733,"Sin venta a plazos, todo cambia.",Bez tohohle se všechno mění: prodej na splátky.,ne
lograr / lograr hacerlo,dosánout,4734,Vamos a lograr un momento.,Pojďme dosánout na chvilku.,ne
lograr / lograr hacerlo,získat,4735,Intento lograr mejor cada día.,Snažím se získat každý den lépe.,ne
lograr / lograr hacerlo,podařit se / zvládnout to,4736,"Quiero lograr hoy, sin prisa.","Dnes chci podařit se, bez spěchu.",ne
el anillo,prsten,4737,"Aquí está el anillo, justo delante.","Tady je prsten, přímo před námi.",ne
el anillo,kroužek,4738,En la caja hay el anillo.,V krabici je kroužek.,ne
el anillo,prstenec,4739,Necesito el anillo para este trabajo.,Na tuhle práci potřebuji prstenec.,ne
el anillo,letokruh,4740,Hoy vemos el anillo por primera vez.,Dnes poprvé vidíme letokruh.,ne
anillo de compromiso / anillo de boda,zásnubní prstýnek / svatební prsten,4741,Hoy hablamos de anillo de compromiso un momento.,Dnes chvíli mluvíme o tomhle: zásnubní prstýnek.,ne
el compromiso,závazek,4742,"Aquí está el compromiso, justo delante.","Tady je závazek, přímo před námi.",ne
el compromiso,povinnost,4743,En la caja hay el compromiso.,V krabici je povinnost.,ne
el compromiso,zásnuby,4744,Necesito el compromiso para este trabajo.,Na tuhle práci potřebuji zásnuby.,ne
el acuerdo / llegar a un acuerdo,kompromis,4745,Hoy vemos el acuerdo por primera vez.,Dnes poprvé vidíme kompromis.,ne
el acuerdo / llegar a un acuerdo,dohoda / dosáhnout kompromisu,4746,En el mapa aparece el acuerdo.,Na mapě je dohoda.,ne
la clave,kód,4747,"Aquí está la clave, justo delante.","Tady je kód, přímo před námi.",ne
la clave,klíč,4748,En la caja hay la clave.,V krabici je klíč.,ne
la clave,kombinace,4749,Necesito la clave para este trabajo.,Na tuhle práci potřebuji kombinace.,ne
la clave,klíčový,4750,Hoy vemos la clave por primera vez.,Dnes poprvé vidíme klíčový.,ne
la clave,stěžejní,4751,En el mapa aparece la clave.,Na mapě je stěžejní.,ne
el enigma / enigmático,záhada,4752,"Aquí está el enigma, justo delante.","Tady je záhada, přímo před námi.",ne
el enigma / enigmático,tajemství / záhadný,4753,En la caja hay el enigma.,V krabici je tajemství.,ne
el enigma / enigmático,tajemný,4754,Necesito el enigma para este trabajo.,Na tuhle práci potřebuji tajemný.,ne
el reto (desafío),výzva (náročný úkol),4755,Hoy vemos el reto por primera vez.,Dnes poprvé vidíme výzva.,ne
la humildad,pokora,4756,En el mapa aparece la humildad.,Na mapě je pokora.,ne
la humildad,skromnost,4757,"Aquí está la humildad, justo delante.","Tady je skromnost, přímo před námi.",ne
la humildad,neurozenost,4758,En la caja hay la humildad.,V krabici je neurozenost.,ne
sospechar / insospechado,podezřívat / neočekávaný,4759,Vamos a sospechar un momento.,Pojďme podezřívat na chvilku.,ne
sospechar / insospechado,nepředvídatelný,4760,Intento sospechar mejor cada día.,Snažím se nepředvídatelný každý den lépe.,ne
el maltrato,týrání,4761,En el mapa aparece el maltrato.,Na mapě je týrání.,ne
el maltrato,špatné zacházení,4762,"Aquí está el maltrato, justo delante.","Tady je špatné zacházení, přímo před námi.",ne
arrojar,mrštit,4763,Me gusta arrojar cuando tengo tiempo.,"Když mám čas, baví mě mrštit.",ne
arrojar,hodit,4764,Vamos a arrojar un momento.,Pojďme hodit na chvilku.,ne
arrojar,vrhnout,4765,Intento arrojar mejor cada día.,Snažím se vrhnout každý den lépe.,ne
arrojar,chrlit,4766,"Quiero arrojar hoy, sin prisa.","Dnes chci chrlit, bez spěchu.",ne
arrojar,zvracet,4767,Necesito arrojar antes de salir.,Potřebuji zvracet před odchodem.,ne
arrojar luz sobre alg,vnést světlo do čeho,4768,Me gusta arrojar luz sobre alg cuando tengo tiempo.,"Když mám čas, baví mě vnést světlo do čeho.",ne
arrojar luz sobre alg,vrhnout světlo na co,4769,Vamos a arrojar luz sobre alg un momento.,Pojďme vrhnout světlo na co na chvilku.,ne
arrojar luz sobre alg,osvětlit co,4770,Intento arrojar luz sobre alg mejor cada día.,Snažím se osvětlit co každý den lépe.,ne
secuestrar / el secuestro,unést / únos,4771,"Quiero secuestrar hoy, sin prisa.","Dnes chci unést, bez spěchu.",ne
apenas,sotva,4772,Hoy el día está apenas.,Dnes je den sotva.,ne
apenas,stěží,4773,Su voz suena apenas.,Jeho/její hlas zní stěží.,ne
apenas,téměř ne,4774,El paisaje es apenas.,Krajina je téměř ne.,ne
indagar,pátrat,4775,Intento indagar mejor cada día.,Snažím se pátrat každý den lépe.,ne
indagar,vyšetřovat,4776,"Quiero indagar hoy, sin prisa.","Dnes chci vyšetřovat, bez spěchu.",ne
huésped,host,4777,huésped es importante para este tema.,host je důležité pro tohle téma.,ne
huésped,návštěvník,4778,"Sin huésped, todo cambia.",Bez tohohle se všechno mění: návštěvník.,ne
acariciar,pohladit,4779,Vamos a acariciar un momento.,Pojďme pohladit na chvilku.,ne
acariciar,polaskat,4780,Intento acariciar mejor cada día.,Snažím se polaskat každý den lépe.,ne
la trompa,chobot,4781,En el mapa aparece la trompa.,Na mapě je chobot.,ne
la trompa,sosák,4782,"Aquí está la trompa, justo delante.","Tady je sosák, přímo před námi.",ne
la trompa,lesní roh,4783,En la caja hay la trompa.,V krabici je lesní roh.,ne
"con intención, deliberadamente",úmyslně,4784,,"A veces con intención sorprende., Někdy překvapí tohle: úmyslně.",ne
"con intención, deliberadamente",záměrně,4785,,"Ahora mismo pienso en con intención., Teď myslím na tohle: záměrně.",ne
el alcalde,starosta,4786,En el mapa aparece el alcalde.,Na mapě je starosta.,ne
la medida (la provisión) / vestido a medida,opatření,4787,"Aquí está la medida, justo delante.","Tady je opatření, přímo před námi.",ne
la medida (la provisión) / vestido a medida,míra,4788,En la caja hay la medida.,V krabici je míra.,ne
la medida (la provisión) / vestido a medida,měření,4789,Necesito la medida para este trabajo.,Na tuhle práci potřebuji měření.,ne
la medida (la provisión) / vestido a medida,měřítko / šaty na míru,4790,Hoy vemos la medida por primera vez.,Dnes poprvé vidíme měřítko.,ne
la molestia,otravování,4791,En el mapa aparece la molestia.,Na mapě je otravování.,ne
la molestia,obtěžování,4792,"Aquí está la molestia, justo delante.","Tady je obtěžování, přímo před námi.",ne
la molestia,vyrušování,4793,En la caja hay la molestia.,V krabici je vyrušování.,ne
Siento molestarle. / Disculpe la molestia.,Promiňte,4794,A veces Siento molestarle. sorprende.,Někdy překvapí tohle: Promiňte.,ne
Siento molestarle. / Disculpe la molestia.,že vás obtěžuji.,4795,Ahora mismo pienso en Siento molestarle..,Teď myslím na tohle: že vás obtěžuji..,ne
bombero,hasič,4796,Este lugar parece bombero.,Tohle místo je hasič.,ne
oportuno,příhodný,4797,Hoy el día está oportuno.,Dnes je den příhodný.,ne
oportuno,hodící se,4798,Su voz suena oportuno.,Jeho/její hlas zní hodící se.,ne
llegar en el momento oportuno,přijít v pravý čas,4799,Vamos a llegar en el momento oportuno un momento.,Pojďme přijít v pravý čas na chvilku.,ne
Haz lo que consideres oportuno.,Dělej to,4800,Ahora mismo pienso en Haz lo que consideres oportuno..,Teď myslím na tohle: Dělej to.,ne
Haz lo que consideres oportuno.,co uznáš za vhodné.,4801,Hoy hablamos de Haz lo que consideres oportuno. un momento.,Dnes chvíli mluvíme o tomhle: co uznáš za vhodné..,ne
la tortuga,želva,4802,"Aquí está la tortuga, justo delante.","Tady je želva, přímo před námi.",ne
amenazar / la amenaza,vyhrožovat,4803,Me gusta amenazar cuando tengo tiempo.,"Když mám čas, baví mě vyhrožovat.",ne
amenazar / la amenaza,hrozit,4804,Vamos a amenazar un momento.,Pojďme hrozit na chvilku.,ne
amenazar / la amenaza,pohrozit / hrozba,4805,Intento amenazar mejor cada día.,Snažím se pohrozit každý den lépe.,ne
erradicar,vymýtit,4806,"Quiero erradicar hoy, sin prisa.","Dnes chci vymýtit, bez spěchu.",ne
