ES,CZ,Order
particular / en particular,zvláštní / obzvlášť,6125
cautivar,zaujmout,6126
cautivar,upoutat,6127
cautivar,uchvátit,6128
cautivar,nadchnout,6129
cautivar,zajmout (válka),6130
la atracción / atracción turística,přitažlivost,6131
la atracción / atracción turística,atrakce / turistická zajímavost,6132
el escenario,jeviště,6133
el escenario,dějiště,6134
añorar a algn (echar de menos) / te echo de menos,stýskat se po kom / stýská se mi po tobě,6135
bisabuelo, -la / bisnieto, -ta,pradědeček,6136
bisabuelo, -la / bisnieto, -ta,prababička / pravnuk,6137
bisabuelo, -la / bisnieto, -ta,pravnučka,6138
el sobrepeso,nadváha,6139
el cansancio / la fatiga,únava,6140
la compulsión,nutkání,6141
la compulsión,obsese,6142
granjero,statkář,6143
granjero,farmář,6144
granjero,statkářský,6145
el conde,hrabě (vyšší šlechtic),6146
someter,podrobit si,6147
someter,ovládnout,6148
someter,podřídit se,6149
someter a un examen / someter a interrogatorio a algn,podrobit zkoušce / podrobit výslechu koho,6150
la aguja / Es como buscar una aguja en un pajar.,jehla / To je jako hledat jehlu v kupce sena.,6151
el pajar,stodola,6152
el pajar,seník,6153
fundir,tát (sníh),6154
fundir,rozpouštět,6155
fundir,tavit (kov),6156
agotar (reservas),vyčerpat,6157
agotar (reservas),spotřebovat,6158
agotar (reservas),dojít (zásoby),6159
el pozo / pozo petróleo / pozo sin fondo,studna,6160
el pozo / pozo petróleo / pozo sin fondo,vrt / ropný vrt / bezedná studna,6161
facilitar,usnadnit,6162
facilitar,ulehčit,6163
facilitar,umožnit,6164
facilitar,poskytnout,6165
concordar,odpovídat čemu,6166
concordar,shodovat se,6167
concordar,uvést v soulad,6168
la trucha común / la trucha arco iris,pstruh obecný / pstruh duhový,6169
águila real / vista de águila,orel skalní / přen. orlí zrak,6170
la mariposa,motýl,6171
polinizar / polinizador,opylovat / opylovač,6172
censar,provádět sčítání (obyvatel,6173
censar,motýlů),6174
la lechuga / lechuga iceberg,salát / ledový salát,6175
fresco / Es más fresco que una lechuga.,drzý,6176
fresco / Es más fresco que una lechuga.,drzoun,6177
fresco / Es más fresco que una lechuga.,čerstvý / Je strašně drzý (jako opice).,6178
la oruga / tractor oruga,housenka / pásový traktor,6179
implicar / estar implicado,logicky vyplývat,6180
implicar / estar implicado,znamenat,6181
implicar / estar implicado,zamotat se,6182
implicar / estar implicado,zaplést se do čeho,6183
paulatino / paulatinamente,pozvolný / pozvolna,6184
el apagón / apagar,výpadek elektřiny / vypnout,6185
el apagón / apagar,zhasnout,6186
el apagón / apagar,ztlumit,6187
los (tres) Reyes Magos,Tři králové,6188
la trinidad / la Santísima Trinidad,Nejsvětější Trojice,6189
derribar (los muros) / el muro,povalit,6190
derribar (los muros) / el muro,srazit (zvíře),6191
derribar (los muros) / el muro,zbořit (zdi) / stěna,6192
derribar (los muros) / el muro,zeď,6193
hacer la mili,být na vojně,6194
el rótulo,cedule,6195
el rótulo,vývěsní štít,6196
el paladar / Tiene el paladar muy fino.,patro v ústech / Má mlsný jazýček.,6197
la suspensión,pozastavení,6198
la suspensión,přerušení,6199
la suspensión,odpružení,6200
la concesión,ústupek,6201
la concesión,udělení,6202
la concesión,koncese,6203
residir en alg(n),spočívat v čem,6204
residir en alg(n),ležet na kom (povinnost),6205
el abismo / al borde del abismo,propast,6206
el abismo / al borde del abismo,propastný rozdíl / na hraně,6207
el abismo / al borde del abismo,na kraji propasti,6208
dar de alta (voluntaria),pustit z nemocnice (na revers),6209
la colza,řepka olejka,6210
el macizo / la macizo / macizo,masiv,6211
el macizo / la macizo / macizo,záhon květin / kráska / masivní,6212
el macizo / la macizo / macizo,plný,6213
la manzanilla,heřmánek,6214
el bol,miska,6215
rodaja de pepino,kolečko okurky,6216
el solomillo,svíčková,6217
el solomillo,plátek svíčkové,6218
la salsa (de hongos, de setas, de tomate, tártara),omáčka (houbová,6219
la salsa (de hongos, de setas, de tomate, tártara),tatarská,6220
la salsa (de hongos, de setas, de tomate, tártara),rajská),6221
la cuba,soudek,6222
la cuba,bečka,6223
la cuba,cisterna,6224
el prado (la pradera),louka,6225
el prado (la pradera),palouk,6226
el tapón,zátka,6227
el tapón,špunt,6228
yacer,ležet,6229
yacer,odpočívat,6230
yacer,být pochován,6231
yacer,souložit,6232
la persiana,žaluzie,6233
la persiana,roleta,6234
la rodilla,koleno,6235
el codo / empinar el codo / codazo,loket / rád si přihnout / šťouchnutí loktem,6236
estribar en,spočívat na čem,6237
estribar en,tkvět v čem,6238
concertado,dohodnutý,6239
concertado,sjednaný (schůzka,6240
concertado,cena),6241
la acera,chodník,6242
cervesa de barril,točené pivo,6243
mensual / revista mensual,měsíční / měsíčník,6244
insinuar / insinuarse,naznačit / nadbíhat,6245
insinuar / insinuarse,vnucovat se,6246
insinuar / insinuarse,snažit se vlichotit,6247
efectuar (se),provést,6248
efectuar (se),uskutečnit,6249
efectuar (se),vykonat (se),6250
venir a la mente,přijít na mysl,6251
venir a la mente,dostat nápad,6252
¡Gracias a Dios!,Díky bohu!,6253
incorregible,nepoučitelný,6254
incorregible,nenapravitelný,6255
incorregible,nepolepšitelný,6256
el atavismo,přežitek,6257
hojear,listovat,6258
hojear,prolistovat,6259
el/la cicerone (el guía = ,průvodce člověk, la guía = průvodce kniha),průvodce,6260
la prueba,experiment,6261
la prueba,pokus,6262
la prueba,důkaz,6263
el lecho,lůžko,6264
el lecho,řečiště,6265
el lecho,dno (jezera,6266
el lecho,moře),6267
enloquecer / enloquecido = kdo přišel o rozum,pobláznit,6268
enloquecer / enloquecido = kdo přišel o rozum,připravit o rozum,6269
enloquecer / enloquecido = kdo přišel o rozum,uvést do tranzu,6270
seducir,svést,6271
seducir,svádět,6272
seducir,zlákat,6273
sucumbir / sucumbir a la tentación,podlehnout,6274
sucumbir / sucumbir a la tentación,být poražen,6275
sucumbir / sucumbir a la tentación,zaniknout / podlehnout pokušení,6276
el encanto,kouzlo,6277
el encanto,půvab,6278
el encanto,přitažlivost,6279
la cicatriz,jizva,6280
retirar (retirar de la circulación),stáhnout (vojska,6281
retirar (retirar de la circulación),z oběhu),6282
retirar (retirar de la circulación),odklidit,6283
retirar (retirar de la circulación),odejít do důchodu,6284
la tropa,vojsko,6285
la tropa,jednotka,6286
la tropa,oddíl,6287
la tropa,tlupa,6288
el equipamiento,vybavení,6289
el equipamiento,zařízení,6290
el equipamiento,výbava vozu,6291
garantizar,garantovat,6292
garantizar,zaručit,6293
garantizar,poskytnout záruku,6294
desviar,odklonit,6295
desviar,odchýlit,6296
desviar,přesměrovat,6297
desviar,sejít z cesty,6298
el alba / lucero del alba / misa del alba,úsvit,6299
el alba / lucero del alba / misa del alba,rozbřesk / jitřenka / ranní mše (ž.rod),6300
la mancha , la mácula / Gran mancha roja,skvrna,6301
la mancha , la mácula / Gran mancha roja,flek / velká rudá skvrna (Jupiter),6302
contrastar / contrastar la hipótesis,zjistit,6303
contrastar / contrastar la hipótesis,ověřit,6304
contrastar / contrastar la hipótesis,kontrastovat / ověřit hypotézu,6305
verificar,ověřit,6306
verificar,zjistit,6307
verificar,potvrdit,6308
tenue / la atenuación,tenký / zmírnění,6309
tenue / la atenuación,zeslabení,6310
tenue / la atenuación,zmenšení,6311
denominar,nazvat,6312
denominar,pojmenovat,6313
denominar,nazývat se,6314
en el sentido de las agujas del reloj / dextrógiro, levógiro,po směru hodinových ručiček / pravotočivý,6315
en el sentido de las agujas del reloj / dextrógiro, levógiro,levotočivý,6316
atrapar / dejarse atrapar,chytit,6317
atrapar / dejarse atrapar,zachytit,6318
atrapar / dejarse atrapar,polapit / nachytat se,6319
año bisiesto,přestupný rok,6320
el eje / eje de simetría / eje de la Tierra,osa / osa souměrnosti / zemská osa,6321
si bien,ačkoli,6322
si bien,přestože,6323
afín / persona afín,blízký,6324
afín / persona afín,spřízněný,6325
afín / persona afín,podobný / spřízněná duše,6326
el cuco / reloj de cuco,kukačka / hodiny s kukačkou,6327
acontecer,přihodit se,6328
acontecer,udát se,6329
el plano (plano de ciudad),plánek / rovina,6330
el plano (plano de ciudad),rovný,6331
el plano (plano de ciudad),plochý,6332
estar en el primer plano / estar en el segundo plano,být v popředí zájmu / být vedlejší,6333
estar en el primer plano / estar en el segundo plano,být na druhé koleji,6334
la avellana tostada,lískový oříšek opražený,6335
inútil,zbytečný,6336
inútil,neužitečný,6337
inútil,budižkničemu,6338
el cisne / canto del cisne,labuť / labutí píseň,6339
difundir,šířit,6340
difundir,rozšířit,6341
difundir,roznášet,6342
hacer frente (al problema),postavit se (k problému) čelem,6343
la causa / sin causa / por causa de alg , debido a alg,příčina,6344
la causa / sin causa / por causa de alg , debido a alg,důvod / bezdůvodně / vlivem čeho,6345
posibilitar,umožnit,6346
posibilitar,učinit možným,6347
el prejuicio / el orgullo (Orgullo y prejuicio),předsudek,6348
el prejuicio / el orgullo (Orgullo y prejuicio),zaujatost / pýcha,6349
el prejuicio / el orgullo (Orgullo y prejuicio),hrdost,6350
tener la pierna escayolada,mít nohu v sádře,6351
confesar (se) / confesor,vyznat,6352
confesar (se) / confesor,doznat,6353
confesar (se) / confesor,přiznat (vyzpovídat se) / zpovědník,6354
confesar la verdad (su culpa) / Tengo que confesar que …,přiznat pravdu (svojí vinu) / Musím přiznat,6355
confesar la verdad (su culpa) / Tengo que confesar que …,že ...,6356
la mandíbula / el maxilar,čelist,6357
la almohada,polštář,6358
caber en, 1.quepo / no caber duda de alg / si cabe,vejít se do / nebýt pochyb o čem / pokud to je možné,6359
el detergente,prací prášek,6360
el detergente,čistící prostředek,6361
la editorial / el editorial,nakladatelství / redakční článek,6362
la editorial / el editorial,úvodník,6363
el ejecutivo,manažer,6364
el ejecutivo,vedoucí pracovník,6365
la emisora,rozhlasová stanice,6366
la enhorabuena / dar la enhorabuena a algien por algo,blahopřání,6367
la enhorabuena / dar la enhorabuena a algien por algo,gratulace / blahopřát komu k čemu,6368
enterar (se),informovat,6369
enterar (se),uvědomit (dozvědět se),6370
incluso,včetně,6371
incluso,dokonce (i),6372
el inquilino (alquilar = pronajmout),nájemník,6373
el instituto,gymnázium,6374
el instituto,střední škola šp.,6375
la lavadora / el lavaplatos,pračka / myčka na nádobí,6376
el microondas,mikrovlnka,6377
mudar (se),převléci,6378
mudar (se),přestěhovat (se),6379
el empleo / el paro, el desempleo,pracovní místo / nezaměstnanost,6380
el pijo,snob,6381
el periódico,noviny,6382
el periódico,periodický,6383
el puesto (de trabajo),místo,6384
el puesto (de trabajo),stánek (pracovní místo),6385
la vacuna contra el SIDA,vakcína proti AIDS,6386
el/la espía,špión,6387
el/la espía,agent,6388
el/la espía,vyzvědačský,6389
reiniciar,restartovat,6390
reiniciar,resetovat,6391
reiniciar,začít znovu,6392
la aclaración,objasnění,6393
la aclaración,vysvětlení,6394
el barranco / salir del barranco,rokle,6395
el barranco / salir del barranco,strž,6396
el barranco / salir del barranco,obtíž / překonat obtíže,6397
mero,pouhý,6398
la tregua / sequía no da tregua a Puerto Rico,příměří,6399
la tregua / sequía no da tregua a Puerto Rico,klid / sucho nedává Pueru Ricu (klid) spát,6400
el balde / de balde / en balde,kbelík,6401
el balde / de balde / en balde,vědro / zadarmo / nadarmo,6402
interceder por,přimluvit se za koho,6403
dar impulso / dar pie a alg,dát podnět k čemu,6404
el ladrillo / ladrillo cocido,cihla / pálená cihla,6405
exagerado,přehnaný,6406
exagerado,přemrštěný,6407
la necropsia / la autopsia forense,pitva / soudní pitva,6408
el pelícano,pelikán,6409
salvo / sano y salvo,mimo,6410
salvo / sano y salvo,kromě,6411
salvo / sano y salvo,zdráv / živ a zdráv,6412
empalar,nabodnout,6413
empalar,nabodnout na kůl,6414
apropiado / de algo / para algo,přivlastněný / přizpůsobený čemu / náležitý,6415
apropiado / de algo / para algo,vhodný pro,6416
denso, espeso / opaco,hustý / neprůhledný,6417
denso, espeso / opaco,matný,6418
dar lugar a alg,způsobit,6419
dar lugar a alg,vyvolat co,6420
dar lugar a alg,dát vzniknout,6421
precipitaciones de lluvia / nieve,děšťové/sněhové srážky,6422
el rocío,rosa,6423
apreciar / apreciado,ocenit,6424
apreciar / apreciado,vážit si,6425
apreciar / apreciado,všimnout si / vážený,6426
apreciar / apreciado,ceněný,6427
protestar (reclamar) contra algo / reclamar,protestovat proti čemu / domáhat se,6428
protestar (reclamar) contra algo / reclamar,požadovat,6429
chantajear / el chantaje,vydírat / vydírání,6430
chantajear / el chantaje,vyděračství,6431
la joroba / camello de una joroba / jorobado,hrb / jednohrbý velbloud / hrbatý,6432
implorar algo a algien,snažně prosit u koho o co,6433
implorar algo a algien,žadonit,6434
conciliar / reconciliar (se),usnout / smířit,6435
conciliar / reconciliar (se),usmířit (se),6436
conciliar / reconciliar (se),uvést v soulad,6437
vanidoso,ješitný,6438
vanidoso,marnivý,6439
avaro / tacaño,lakomý,6440
avaro / tacaño,lakomec,6441
obrar / obra del diablo /  ¡Al diablo con alg(n)!,konat,6442
obrar / obra del diablo /  ¡Al diablo con alg(n)!,jednat / dílo ďáblovo / k čertu s tím,6443
obrar / obra del diablo /  ¡Al diablo con alg(n)!,ním,6444
desmentir,dementovat,6445
desmentir,popřít,6446
bostezar,zívat,6447
el yerno / la nuera,zeť / snacha,6448
el orden / la orden / el desorden,pořádek,6449
el orden / la orden / el desorden,řád / rozkaz,6450
el orden / la orden / el desorden,příkaz / nepořádek,6451
apañárselas / Ya nos las apañaremos.,něco zvládnout,6452
apañárselas / Ya nos las apañaremos.,poradit si / Nějak to zvládneme.,6453
la amistad / trabar amistad con algn,přátelství,6454
la amistad / trabar amistad con algn,kamarádství / navázat přátelství s kým,6455
trabar embargo sobre alg / trabar ejecución de alg,zabavit,6456
trabar embargo sobre alg / trabar ejecución de alg,konfiskovat co / soudně vymáhat co,6457
recorrer,ujít,6458
recorrer,ujet,6459
recorrer,uletět určitou vzálenost,6460
el carril / carril bus, carril bici,jízdní pruh / pruh pro autobus,6461
el carril / carril bus, carril bici,pruh pro cyklisty,6462
el embrague,spojka v autě,6463
semejante,podobný,6464
semejante,obdobný,6465
el espíritu / pobres de espíritu,duch / chudí duchem,6466
Dios Padre / Hijo / Espíritu Santo,Bůh Otec/Syn/Duch Svatý,6467
comparar / No se puede comparar (con nada).,srovnat,6468
comparar / No se puede comparar (con nada).,srovnávat / To se nedá (s ničím) srovnat.,6469
el buñuelo / la rosquilla,kroketa,6470
el buñuelo / la rosquilla,smaženka,6471
el buñuelo / la rosquilla,koblih / kobliha s dírou uprostřed,6472
asignar / asignar trabajo + a + algn,určit,6473
asignar / asignar trabajo + a + algn,přidělit,6474
asignar / asignar trabajo + a + algn,stanovit / přidělit komu práci,6475
publicar / hacer público,publikovat,6476
publicar / hacer público,uveřejnit,6477
la certeza / afirmar con certeza,určitost,6478
la certeza / afirmar con certeza,jistota,6479
la certeza / afirmar con certeza,nepochybnost / tvrdit s určitostí,6480
estar consciente / ser consciente de algo,být při vědomí / uvědomovat si co,6481
estar consciente / ser consciente de algo,být si vědom čeho,6482
la lenteja / la lente,čočka na jídlo / čočka fyzikálně,6483
independizarse,osamostatnit se,6484
ajeno,cizí (bolest,6485
ajeno,majetek),6486
a mediados de / a partir de / A partir qué hora?,v polovině čeho / od začátku čeho / od kolika hodin?,6487
el acceso / acceso prohibido / contraseña de acceso,přístup / zákaz vstupu / přístupové heslo,6488
la contraseña / Ponga (Introduzca) la contraseña.,heslo / Vložte (Zadejte) heslo.,6489
la altiplanicie (la meseta) / el altiplano,náhorní rovina,6490
la altiplanicie (la meseta) / el altiplano,náhorní plošina,6491
el carbón / óxido de carbono / dióxido de carbono,uhlí / oxid uhelnatý / oxid uhličitý,6492
la cocaína (la coca),kokain,6493
constituir / constituir algo / constituir en alg(n),tvořit,6494
constituir / constituir algo / constituir en alg(n),utvářet / být čím / stát se kým,6495
constituir / constituir algo / constituir en alg(n),čím,6496
construir,postavit,6497
construir,(vy)budovat,6498
construir,(vy)stavět,6499
construir,sestrojit,6500
construir,zkonstruovat,6501
contemporáneo / Edad Contemporánea,současný,6502
contemporáneo / Edad Contemporánea,přítomný / novověk,6503
contemporáneo / Edad Contemporánea,moderní dějiny,6504
la cordillera,pohoří,6505
la cordillera,horský hřeben,6506
la cuna / canción de cuna / desde la cuna,kolébka / ukolébavka / již od kolébky od dětství,6507
cunar / mecer,kolébat,6508
la marta,kuna,6509
el ecuador / paso del ecuador,rovník / oslava absolvování poloviny studia,6510
el estaño / papel de estaño,cín / staniol,6511
la esmeralda,smaragd,6512
explotar,vybuchnout,6513
explotar,explodovat,6514
explotar,vytěžit,6515
explotar,vykořisťovat,6516
ocupar,zabírat,6517
ocupar,obsadit (2.místo...),6518
el petróleo,ropa,6519
el plomo,olovo,6520
proclamar,vyhlásit,6521
proclamar,prohlásit,6522
producir / el productor,vyrábět / výrobce,6523
referir a,odvolávat se na koho,6524
referir a,vztahovat se k čemu,6525
la reserva,zásoba,6526
la reserva,rezervace,6527
calmar se,utišit se,6528
calmar se,uklidnit se,6529
el romero,rozmarýn,6530
el buey,vůl,6531
la navaja,střenka (mořský měkýš),6532
el cartucho,kornout,6533
el cartucho,náboj,6534
el cartucho,patrona,6535
el cartucho,nábojnice,6536
el bacalao / la merluza,treska,6537
el chipirón,sépie,6538
el pisto,zeleninové lečo,6539
la ventresca,břicho u ryb,6540
el brote,výhonek,6541
el brote,pupenec,6542
el brote,poupě,6543
confitado,kandovaný,6544
confitado,máčený v cukru,6545
la peineta,hřeben,6546
la peineta,hřebínek do vlasů,6547
la fideuá / el fideo(s),nudle s rybím masem a mořskými plody / nudle,6548
encebollado / hígado encebollado,cibulový / játra na cibulce,6549
templado / clima templado,teplý,6550
templado / clima templado,ohřátý,6551
templado / clima templado,vlažný,6552
templado / clima templado,mírný / mírné klima,6553
el rescate,vysvobození,6554
el rescate,záchrana,6555
el rescate,výkupné,6556
estimar,odhadnout,6557
estimar,vážit si někoho,6558
la meta / llegar a la meta,cíl / dojít k cíli,6559
la quita,odpuštění,6560
la quita,prominutí dluhu,6561
la confluencia,soutok,6562
la confluencia,spojení cest,6563
el hurto,odcizení,6564
el hurto,krádež,6565
el hurto,odcizená věc,6566
el rascacielos,mrakodrap,6567
chocar con / contra,srazit se,6568
chocar con / contra,narazit,6569
chocar con / contra,šokovat,6570
la lima (lima de uñas) / comer más que una lima,pilník,6571
la lima (lima de uñas) / comer más que una lima,jedlík,6572
la lima (lima de uñas) / comer más que una lima,žrout / jíst za tři,6573
defender (yo defiendo) / defender del agresor,bránit,6574
defender (yo defiendo) / defender del agresor,hájit,6575
defender (yo defiendo) / defender del agresor,obhajovat / bránit před útočníkem,6576
la ribera,břeh řeky,6577
el azar / al azar / juego de azar,štěstí,6578
el azar / al azar / juego de azar,náhoda,6579
el azar / al azar / juego de azar,osud / náhodně,6580
el azar / al azar / juego de azar,nazdařbůh / hazardní hra,6581
rellenar / rellenar un formulario,vyplnit,6582
rellenar / rellenar un formulario,doplnit,6583
rellenar / rellenar un formulario,dolít / vyplnit formulář,6584
el arce (el alerce = modřín),javor,6585
el tilo,lípa,6586
el avellano,líska,6587
el avellano,lískový keř,6588
el abeto blanco (el abedul = bříza),jedle bělokorá,6589
la paloma / pichón,holub,6590
la paloma / pichón,holubice,6591
la paloma / pichón,beránek (hodný člověk) / holoubě,6592
la tórtola,hrdlička,6593
el cuervo,havran,6594
el cuervo,krkavec,6595
el mirlo / ser un mirlo blanco,kos / být bílá vrána,6596
el mirlo / ser un mirlo blanco,řídký jev,6597
el ruiseñor,slavík,6598
el alfiler / el clavo / clavar un clavo / dar en el clavo,špendlík / hřebík / zatlouct hřebík / uhodit hř. na hlavičku,6599
la entidad / de entidad / de poca entidad,bytí,6600
la entidad / de entidad / de poca entidad,jsoucno,6601
la entidad / de entidad / de poca entidad,právní subjekt / podstatný / nepodstatný,6602
el altar / llevar al altar a algn,oltář,6603
el altar / llevar al altar a algn,obětní stůl,6604
el altar / llevar al altar a algn,svatořečit / odvést k oltáři,6605
el altar / llevar al altar a algn,vzít si koho,6606
la traba,překážka (v jednání),6607
el listón,laťka,6608
el listón,lať,6609
el listón,lišta,6610
el revés / al revés / el anverso,rub / na ruby / líc,6611
el revés / al revés / el anverso,přední strana,6612
el azor,jestřáb,6613
el principio,začátek,6614
el principio,princip,6615
el principio,zákon (fyzikální),6616
el principio,prvek (část celku),6617
Empecemos por el principio. / al pricipio / en principio,Začněme od začátku. / z počátku / v podstatě,6618
paliar / paliar el dolor,zmírnit,6619
paliar / paliar el dolor,utišit / zmírnit bolest,6620
la dolencia,choroba,6621
la dolencia,neduh,6622
el borrón,kaňka,6623
el borrón,skvrna od inkoustuS,6624
batir,rozšlehat vejce,6625
batir,porazit (zvítězit),6626
batir,bičovat (déšť),6627
devolver el golpe,vrátit úder,6628
la ceniza / miércoles de Ceniza,popel / Popeleční středa,6629
(el/la) sujeto,subjekt,6630
(el/la) sujeto,podmět,6631
(el/la) sujeto,připevněný,6632
(el/la) sujeto,přichycený,6633
la roca / firme como una roca,skála,6634
la roca / firme como una roca,hornina / pevný jako skála,6635
el blanco / la diana,terč,6636
confundir (difundir = rozšířit),splést,6637
confundir (difundir = rozšířit),zmást,6638
confundir (difundir = rozšířit),zaměnit,6639
el apellido / apellido de soltera,příjmení / rodné příjmení za svobodna,6640
la maría,slepice,6641
la maría,káča (o ženě),6642
Inmaculada Concepción de la Virgen María,Neposkvrněné početí Panny Marie,6643
la concepción,koncepce (projektu),6644
la concepción,početí,6645
inmaculado,neposkvrněný,6646
jubilado / estar jubilado,v důchodu,6647
jubilado / estar jubilado,důchodce / být v důchodu,6648
ahorita,hned,6649
ahorita,teď (LA španělština),6650
venidero / generación venidera,budoucí,6651
venidero / generación venidera,příští,6652
venidero / generación venidera,následující / budoucí generace,6653
recopilar,nasbírat,6654
recopilar,shromáždit (údaje,6655
recopilar,data),6656
suficiente,dostačující,6657
suficiente,dostatečný (ve známkování trojka),6658
presentar el carné de conducir (de identidad),předložit řidičský průkaz (průkaz totožnosti),6659
la experiencia (profesional) / saber por experiencia,zkušenost (praxe v oboru) / vědět ze zkušenosti,6660
experimentado / tener mala experiencia con alg(n),zkušený / mít špatnou zkušenost s kým čím,6661
la avería,porucha,6662
la avería,havárie,6663
la avería,závada,6664
el trueno, el relámpago,hrom,6665
el trueno, el relámpago,blesk,6666
escapar del trueno y dar en el relámpago,dostat se z bláta do louže,6667
escapar del trueno y dar en el relámpago,nepolepšit si,6668
la cosecha / cosechadora,sklizeň,6669
la cosecha / cosechadora,úroda / kombajn,6670
rotundo,rozhodný,6671
rotundo,kategorický,6672
rotundo,oválný,6673
destrozado,zničený,6674
destrozado,rozbitý,6675
el moho,plíseň,6676
atar / desatar,spoutat,6677
atar / desatar,svázat / rozvázat,6678
atar / desatar,uvolnit,6679
atar / desatar,rozpoutat,6680
el tobillo,kotník,6681
el toque / dar un toque a algn,zvonění,6682
el toque / dar un toque a algn,upozornění,6683
el toque / dar un toque a algn,dotek / dát komu echo,6684
los cimientos de casa,základy domu,6685
la aldea,malá vesnice,6686
la aldea,vesnička,6687
la cuerda / instrumento de cuerda (viento),struna,6688
la cuerda / instrumento de cuerda (viento),provaz / strunný (dechový) hudební nástroj,6689
el trapoel paño / poner como un trapo a algn,hadr,6690
el trapoel paño / poner como un trapo a algn,prachovka / řádně vynadat komu,6691
tradición de la tribu / tribu nómada,kmenová tradice / kočovný kmen,6692
hijastro,nevlastní syn / dcera,6693
el disimulo / disimulado,přetvářka / skrytý,6694
el disimulo / disimulado,přestíraný,6695
el disimulo / disimulado,zamaskovaný,6696
el hospedaje,ubytování,6697
el hospedaje,nocleh,6698
la cabaña,chata,6699
la cabaña,chalupa,6700
cojear / cojera,kulhat,6701
cojear / cojera,pokulhávat (v matice),6702
cojear / cojera,viklat se / kulhání,6703
sirviente,sluha,6704
sirviente,služka,6705
relatar / el relato,vyprávět,6706
relatar / el relato,povídat / vyprávění,6707
relatar / el relato,povídání,6708
relatar / el relato,povídka,6709
minimizar,minimalizovat,6710
minimizar,podceňovat,6711
minimizar,zlehčovat,6712
disfrazar,přestrojit se,6713
disfrazar,převléci se,6714
disfrazar,zamaskovat,6715
sabio,moudrý,6716
sabio,mudrc,6717
refutar,vyvrátit,6718
refutar,popřít,6719
el terremoto,zemětřesení,6720
el trago / de un trago / Eso no te lo trago.,hlt,6721
el trago / de un trago / Eso no te lo trago.,doušek,6722
el trago / de un trago / Eso no te lo trago.,lok / na ex / Tak to ti nebaštím.,6723
emborrachar se, embriagar se,opít se,6724
el melocotón,broskev,6725
el albaricoque,meruňka,6726
el guiño,mrknutí (gesto),6727
el guiño,narážka ve filmu,6728
¡Gracias a Dios ! / si Dios quiere,Díky bohu! / dá-li pánbůh,6729
el caldo,vývar,6730
el caldo,bujón,6731
el rumbo / tomar otro rumbo,kurz,6732
el rumbo / tomar otro rumbo,směr cesty / zvolit jiný směr,6733
adherir,přilepit,6734
adherir,přilepit se,6735
dividir / multiplicar (por),dělit / násobit,6736
el semáforo,semafor,6737
madrugar (madrugada = rozbřesk),vstávat brzy ráno,6738
madrugar (madrugada = rozbřesk),přivstat si,6739
de la noche al día,ze dne na den,6740
de la noche al día,přes noc,6741
una y otra vez,stále znovu,6742
una y otra vez,pořád,6743
el ferrocarril,železnice,6744
el ferrocarril,dráha,6745
el ferrocarril,trať,6746
de golpe,najednou,6747
de golpe,náhle,6748
el estancamiento económico,ekon. hospodářská stagnace,6749
por lo menos,alespoň,6750
por lo menos,nejméně,6751
la viña,vinice,6752
la viña,vinohrad,6753
pleno / a plena luz del día,úplný,6754
pleno / a plena luz del día,kulminující,6755
pleno / a plena luz del día,vrcholný / za bílého dne,6756
plenos poderes,plná moc,6757
ingerir,požít,6758
ingerir,pozřít,6759
ingerir,spolknout,6760
sopesar,potěžkat,6761
sopesar,zvážit,6762
sopesar,promyslet,6763
el chorro / propulsión a chorro,pramen,6764
el chorro / propulsión a chorro,pramínek,6765
el chorro / propulsión a chorro,proud / tryskový pohon,6766
organización no gubernamental ONG,nevládní organizace,6767
frecuente,častý,6768
frecuente,obvyklý,6769
frecuente,hojný,6770
el cono,kužel,6771
hasta la fecha,až do dnes,6772
hasta la fecha,až do dnešního dne,6773
el/la alienígena,mimozemšťan,6774
el/la alienígena,mimozemšťanka,6775
el útero / cuello de útero,děloha / děložní hrdlo,6776
el pene,penis,6777
abisal,hlubokomořský,6778
abisal,podmořský,6779
primo (el primo, la prima),první,6780
primo (el primo, la prima),vynikající,6781
primo (el primo, la prima),bratranec,6782
primo (el primo, la prima),sestřenice,6783
el apéndice,dodatek,6784
el apéndice,příloha,6785
el apéndice,výrustek,6786
el apéndice,slepé střevo,6787
la curva / curvo,zatáčka,6788
la curva / curvo,křivka / zakřivený,6789
la curva / curvo,křivý,6790
¡Perdón!, ¡Perdone!,Promiňte! Omluva,6791
Perdone que le moleste.,Promiňte,6792
Perdone que le moleste.,že Vás obtěžuji.,6793
la caña / caña de pescar,stvol,6794
la caña / caña de pescar,stéblo,6795
la caña / caña de pescar,tyčinka / rybářský prut,6796
fiero,dravý,6797
fiero,divoký,6798
circunstancia (s) (condición),okolnost (okolnosti,6799
circunstancia (s) (condición),podmínky),6800
las inundaciónes y deslizamientos,záplavy a sesuvy půdy,6801
el puño / el puñado / el puñetazo,pěst,6802
el puño / el puñado / el puñetazo,hrst,6803
el puño / el puñado / el puñetazo,jílec meče / hrstka / rána pěstí,6804
la mascota,maskot,6805
la mascota,domácí mazlíček,6806
instalar / instalarse en,nainstalovat,6807
instalar / instalarse en,zapojit / nastěhovat se,6808
instalar / instalarse en,usadit se,6809
expulsar,vyhnat,6810
expulsar,vypovědět,6811
expulsar,vyloučit,6812
expulsar,vyhodit,6813
la aleta dorsal (caudal),ploutev,6814
